日期	时间	磁场	温度
2018/6/2	23:21:23	-0.0002170	29.2
2018/6/2	23:21:28	-0.0002190	29.2
2018/6/2	23:21:33	-0.0002190	29.2
2018/6/2	23:21:38	-0.0002180	29.1
2018/6/2	23:21:43	-0.0002210	29.1
2018/6/2	23:21:48	-0.0002190	29.2
2018/6/2	23:21:53	-0.0002180	29.2
2018/6/2	23:21:58	-0.0002180	29.2
2018/6/2	23:22:03	-0.0002170	29.2
2018/6/2	23:22:08	-0.0002190	29.1
2018/6/2	23:22:13	-0.0002190	29.2
2018/6/2	23:22:18	-0.0002170	29.2
2018/6/2	23:22:23	-0.0002170	29.1
2018/6/2	23:22:28	-0.0002190	29.2
2018/6/2	23:22:33	-0.0002220	29.2
2018/6/2	23:22:38	-0.0002230	29.2
2018/6/2	23:22:43	-0.0002210	29.2
2018/6/2	23:22:48	-0.0002210	29.1
2018/6/2	23:22:53	-0.0002210	29.1
2018/6/2	23:22:58	-0.0002210	29.1
2018/6/2	23:23:03	-0.0002200	29.1
2018/6/2	23:23:08	-0.0002210	29.2
2018/6/2	23:23:13	-0.0002180	29.2
2018/6/2	23:23:18	-0.0002200	29.1
2018/6/2	23:23:23	-0.0002210	29.1
2018/6/2	23:23:28	-0.0002190	29.2
2018/6/2	23:23:33	-0.0002190	29.2
2018/6/2	23:23:38	-0.0002200	29.1
2018/6/2	23:23:43	-0.0002220	29.1
2018/6/2	23:23:48	-0.0002240	29.1
2018/6/2	23:23:53	-0.0002230	29.1
2018/6/2	23:23:58	-0.0002200	29.1
2018/6/2	23:24:03	-0.0002240	29.1
2018/6/2	23:24:08	-0.0002210	29.2
2018/6/2	23:24:13	-0.0002230	29.2
2018/6/2	23:24:18	-0.0002230	29.2
2018/6/2	23:24:23	-0.0002210	29.2
2018/6/2	23:24:28	-0.0002210	29.2
2018/6/2	23:24:33	-0.0002200	29.1
2018/6/2	23:24:38	-0.0002220	29.1
2018/6/2	23:24:43	-0.0002250	29.1
2018/6/2	23:24:48	-0.0002240	29.1
2018/6/2	23:24:53	-0.0002260	29.1
2018/6/2	23:24:58	-0.0002260	29.1
2018/6/2	23:25:03	-0.0002270	29.2
2018/6/2	23:25:08	-0.0002240	29.1
2018/6/2	23:25:13	-0.0002270	29.1
2018/6/2	23:25:18	-0.0002240	29.1
2018/6/2	23:25:23	-0.0002250	29.1
2018/6/2	23:25:28	-0.0002240	29.1
2018/6/2	23:25:33	-0.0002250	29.1
2018/6/2	23:25:38	-0.0002250	29.1
2018/6/2	23:25:43	-0.0002250	29.1
2018/6/2	23:25:48	-0.0002240	29.1
2018/6/2	23:25:53	-0.0002220	29.2
2018/6/2	23:25:58	-0.0002230	29.2
2018/6/2	23:26:03	-0.0002250	29.2
2018/6/2	23:26:08	-0.0002260	29.1
2018/6/2	23:26:13	-0.0002250	29.1
2018/6/2	23:26:18	-0.0002250	29.1
2018/6/2	23:26:23	-0.0002230	29.1
2018/6/2	23:26:28	-0.0002260	29.1
2018/6/2	23:26:33	-0.0002270	29.1
2018/6/2	23:26:38	-0.0002250	29.2
2018/6/2	23:26:43	-0.0002260	29.2
2018/6/2	23:26:48	-0.0002270	29.1
2018/6/2	23:26:53	-0.0002260	29.1
2018/6/2	23:26:58	-0.0002280	29.1
2018/6/2	23:27:03	-0.0002280	29.1
2018/6/2	23:27:08	-0.0002260	29.1
2018/6/2	23:27:13	-0.0002270	29.1
2018/6/2	23:27:18	-0.0002280	29.1
2018/6/2	23:27:23	-0.0002270	29.2
2018/6/2	23:27:28	-0.0002280	29.2
2018/6/2	23:27:33	-0.0002270	29.2
2018/6/2	23:27:38	-0.0002260	29.1
2018/6/2	23:27:43	-0.0002240	29.1
2018/6/2	23:27:48	-0.0002270	29.1
2018/6/2	23:27:53	-0.0002290	29.1
2018/6/2	23:27:58	-0.0002270	29.1
2018/6/2	23:28:03	-0.0002250	29.1
2018/6/2	23:28:08	-0.0002310	29.1
2018/6/2	23:28:13	-0.0002290	29.1
2018/6/2	23:28:18	-0.0002290	29.1
2018/6/2	23:28:23	-0.0002290	29.1
2018/6/2	23:28:28	-0.0002300	29.1
2018/6/2	23:28:33	-0.0002290	29.1
2018/6/2	23:28:38	-0.0002290	29.1
2018/6/2	23:28:43	-0.0002300	29.1
2018/6/2	23:28:48	-0.0002270	29.1
2018/6/2	23:28:53	-0.0002290	29.1
2018/6/2	23:28:58	-0.0002300	29.1
2018/6/2	23:29:03	-0.0002290	29.1
2018/6/2	23:29:08	-0.0002300	29.1
2018/6/2	23:29:13	-0.0002300	29.1
2018/6/2	23:29:18	-0.0002320	29.2
2018/6/2	23:29:23	-0.0002340	29.1
2018/6/2	23:29:28	-0.0002280	29.1
2018/6/2	23:29:33	-0.0002250	29.1
2018/6/2	23:29:38	-0.0002240	29.1
2018/6/2	23:29:43	-0.0002270	29.1
2018/6/2	23:29:48	-0.0002290	29.1
2018/6/2	23:29:53	-0.0002300	29.1
2018/6/2	23:29:58	-0.0002280	29.1
2018/6/2	23:30:03	-0.0002290	29.1
2018/6/2	23:30:08	-0.0002300	29.1
2018/6/2	23:30:13	-0.0002290	29.1
2018/6/2	23:30:18	-0.0002260	29.1
2018/6/2	23:30:23	-0.0002260	29.1
2018/6/2	23:30:28	-0.0002270	29.1
2018/6/2	23:30:33	-0.0002270	29.1
2018/6/2	23:30:38	-0.0002260	29.1
2018/6/2	23:30:43	-0.0002280	29.1
2018/6/2	23:30:48	-0.0002300	29.1
2018/6/2	23:30:53	-0.0002280	29.1
2018/6/2	23:30:58	-0.0002300	29.1
2018/6/2	23:31:03	-0.0002290	29.1
2018/6/2	23:31:08	-0.0002320	29.1
2018/6/2	23:31:13	-0.0002320	29.1
2018/6/2	23:31:18	-0.0002270	29.1
